"Date","Time","Segment","Symbol","Trade Type","Quantity","Trade Price (₹)","Trade Value  (₹)","Order id"
"18/04/2022","09:22 AM","NSE_CASH","KPITTECH","Sell","6","542.4","3254.3999999999996","1200000000989220"
"18/04/2022","09:22 AM","NSE_CASH","KPITTECH","Sell","250","542.4","135600","1200000000989220"
"18/04/2022","09:22 AM","NSE_CASH","KPITTECH","Sell","498","542.4","270115.2","1200000000989220"
"18/04/2022","09:31 AM","NSE_CASH","KPITTECH","Sell","27","546.45","14754.150000000001","1200000002538283"
"18/04/2022","09:31 AM","NSE_CASH","KPITTECH","Sell","468","546.45","255738.60000000003","1200000002538283"
"18/04/2022","09:31 AM","NSE_CASH","KPITTECH","Sell","110","546.45","60109.50000000001","1200000002538283"
"18/04/2022","09:31 AM","NSE_CASH","KPITTECH","Sell","58","546.4","31691.199999999997","1200000002538283"
"18/04/2022","09:31 AM","NSE_CASH","KPITTECH","Sell","22","546.35","12019.7","1200000002538283"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","45","550.35","24765.75","1200000002818628"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","17","552.65","9395.05","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","1","552.65","552.65","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","109","552.65","60238.85","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","5","552.7","2763.5","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","16","552.75","8844","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","1","552.8","552.8","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","4","552.8","2211.2","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","5","552.8","2764","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","136","552.85","75187.6","1200000002156519"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","28","550.3","15408.399999999998","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","40","550.35","22014","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","45","550.35","24765.75","1200000002818628"
"18/04/2022","09:22 AM","NSE_CASH","KPITTECH","Sell","18","542.4","9763.199999999999","1200000000989220"
"18/04/2022","09:23 AM","NSE_CASH","KPITTECH","Sell","20","545.7","10914","1200000001481723"
"18/04/2022","09:23 AM","NSE_CASH","KPITTECH","Sell","100","545.7","54570.00000000001","1200000001481723"
"18/04/2022","09:23 AM","NSE_CASH","KPITTECH","Sell","1","545.7","545.7","1200000001481723"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","50","553","27650","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","100","553","55300","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","50","553","27650","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","200","553","110600","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","15","553","8295","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","28","553","15484","1200000002156519"
"18/04/2022","09:28 AM","NSE_CASH","KPITTECH","Buy","15","553","8295","1200000002156519"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","45","550.35","24765.75","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","40","550.35","22014","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","45","550.35","24765.75","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","40","550.35","22014","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","45","550.35","24765.75","1200000002818628"
"18/04/2022","09:34 AM","NSE_CASH","KPITTECH","Buy","40","550.35","22014","1200000002818628"
"18/04/2022","09:23 AM","NSE_CASH","KPITTECH","Sell","30","545.7","16371.000000000002","1200000001481723"
