"Date","Time","Segment","Symbol","Trade Type","Quantity","Trade Price (₹)","Trade Value  (₹)","Order id"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","39","521.65","20344.35","1200000000652611"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","36","521.6","18777.600000000002","1200000000652611"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","2","521.35","1042.7","1200000000652611"
"01/12/2021","09:28 AM","NSE_CASH","KPITTECH","Sell","100","527","52700","1200000001874959"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","6","521.35","3128.1000000000004","1200000000652611"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","3","521.35","1564.0500000000002","1200000000652611"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","2","521.35","1042.7","1200000000652611"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","2","521.35","1042.7","1200000000652611"
"01/12/2021","09:16 AM","NSE_CASH","KPITTECH","Buy","22","515","11330","1200000000341180"
"01/12/2021","09:16 AM","NSE_CASH","KPITTECH","Buy","118","515","60770","1200000000341180"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Buy","25","524.45","13111.250000000002","1200000001782937"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Buy","25","524.5","13112.5","1200000001782937"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Buy","13","524.65","6820.45","1200000001782937"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Buy","36","524.7","18889.2","1200000001782937"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Buy","1","524.7","524.7","1200000001782937"
"01/12/2021","09:26 AM","NSE_CASH","KPITTECH","Sell","50","521.55","26077.499999999996","1200000000652611"
"02/12/2021","09:30 AM","NSE_CASH","BSE","Buy","100","1676","167600","1000000001565248"
"02/12/2021","09:23 AM","NSE_CASH","BSE","Sell","5","1661.6","8308","1000000000724281"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","20","1672.9","33458","1000000002763449"
"02/12/2021","09:23 AM","NSE_CASH","BSE","Sell","1","1664","1664","1000000000555842"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","11","1674","18414","1000000002734181"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","25","1674.2","41855","1000000002734181"
"02/12/2021","09:23 AM","NSE_CASH","BSE","Sell","1","1662","1662","1000000000724281"
"02/12/2021","09:23 AM","NSE_CASH","BSE","Sell","23","1661.8","38221.4","1000000000724281"
"02/12/2021","09:31 AM","NSE_CASH","BSE","Sell","100","1667","166700","1000000001847969"
"02/12/2021","09:18 AM","NSE_CASH","BSE","Buy","50","1673","83650","1000000000651965"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","14","1672.95","23421.3","1000000002763449"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","48","1673","80304","1000000002763449"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","15","1674.45","25116.75","1000000002734181"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","40","1674.45","66978","1000000002734181"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","9","1674.5","15070.5","1000000002734181"
"02/12/2021","09:23 AM","NSE_CASH","BSE","Sell","5","1662","8310","1000000000724281"
"02/12/2021","09:43 AM","NSE_CASH","BSE","Buy","8","1672.75","13382","1000000002763449"
"02/12/2021","10:01 AM","NSE_CASH","BSE","Sell","95","1725","163875","1000000002794455"
"02/12/2021","09:16 AM","NSE_CASH","BSE","Buy","34","1683.05","57223.7","1000000000319318"
"02/12/2021","09:24 AM","NSE_CASH","BSE","Sell","100","1664","166400","1000000001154761"
