"Date","Time","Segment","Symbol","Trade Type","Quantity","Trade Price (₹)","Trade Value  (₹)","Order id"
"01/02/2022","09:34 AM","NSE_CASH","MCX","Sell","10","1556.25","15562.5","1200000002214713"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","2","1556.2","3112.4","1200000000946620"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","1","1556.1","1556.1","1200000000946620"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","1","1556","1556","1200000000946620"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","50","1556","77800","1200000000946620"
"01/02/2022","09:48 AM","NSE_CASH","MCX","Buy","8","1559","12472","1200000003623277"
"01/02/2022","09:48 AM","NSE_CASH","MCX","Buy","24","1559","37416","1200000003623277"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","1","1555.4","1555.4","1200000000946620"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","45","1555.4","69993","1200000000946620"
"01/02/2022","09:24 AM","NSE_CASH","MCX","Sell","12","1555.35","18664.199999999997","1200000000946620"
"01/02/2022","09:48 AM","NSE_CASH","MCX","Buy","13","1559","20267","1200000003623277"
"01/02/2022","09:48 AM","NSE_CASH","MCX","Buy","15","1559.75","23396.25","1200000003623277"
"01/02/2022","09:18 AM","NSE_CASH","MCX","Buy","140","1549.3","216902","1200000000737831"
"01/02/2022","09:34 AM","NSE_CASH","MCX","Sell","130","1556.25","202312.5","1200000002214713"
"01/02/2022","09:51 AM","NSE_CASH","MCX","Sell","26","1551.05","40327.299999999996","1200000003940976"
"01/02/2022","09:51 AM","NSE_CASH","MCX","Sell","49","1551.05","76001.45","1200000003940976"
"01/02/2022","09:51 AM","NSE_CASH","MCX","Sell","1","1551","1551","1200000003940976"
"01/02/2022","09:49 AM","NSE_CASH","MCX","Buy","20","1559.35","31187","1200000003876602"
"01/02/2022","09:49 AM","NSE_CASH","MCX","Buy","26","1559.55","40548.299999999996","1200000003876602"
"01/02/2022","09:49 AM","NSE_CASH","MCX","Buy","1","1559.8","1559.8","1200000003876602"
"01/02/2022","09:49 AM","NSE_CASH","MCX","Buy","21","1559.8","32755.8","1200000003876602"
