,EntryID,userId,orderDateTime,ID,exchOrdId,side,segment,instrument,ProductType,status,qty,remainingQuantity,filledQty,limitPrice,stopPrice,type,discloseQty,dqQtyRem,orderValidity,slNo,offlineOrder,message,orderNumStatus,tradedPrice,fyToken,cauveriTime,symbol,sha256checksum,receivedTime,time
121,148,XK17409,315513000.0,12209282122,,1.0,E,,INTRADAY,OrderStatus.Rejected,120.0,120.0,0.0,2029,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12209282122:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,120,I,243420,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209282122:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,1979-12-31 18:30:00
125,152,XK17409,315513000.0,12209283432,,1.0,E,,INTRADAY,OrderStatus.Rejected,12.0,12.0,0.0,2019,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12209283432:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,12,I,24225,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209283432:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,1979-12-31 18:30:00
126,153,XK17409,315513000.0,12209283462,,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,1349,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:12209283462:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,S,100,I,135000,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209283462:5,0,1010000000324,,NSE:ANGELONE-EQ,,,1979-12-31 18:30:00
127,154,XK17409,315513000.0,12209283092,1000000000096173,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,1377,0,OrderType.Limit,0.0,0.0,DAY,3.0,0.0,"RMS:12209283092:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,S,100,I,137560,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209283092:5,0,1010000000324,,NSE:ANGELONE-EQ,,,1979-12-31 18:30:00
180,207,XK17409,315513000.0,122092814202,,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,2038,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122092814202:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,100,I,2038.00000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=29449.74,ADDITIONAL_REQUIRED_FUND=11310.26,CALCULATED_MARGIN_FOR_ORDER=40760.00",122092814202:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,1979-12-31 18:30:00
702,729,XK17409,315513000.0,122092874532,1000000024092797,-1.0,E,,INTRADAY,OrderStatus.Rejected,170.0,130.0,40.0,1349,0,OrderType.Limit,0.0,0.0,DAY,15.0,0.0,"RMS:122092874532:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,S,170,I,1348.00000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=2101.53,ADDITIONAL_REQUIRED_FUND=8656.47,CALCULATED_MARGIN_FOR_ORDER=10758.00",122092874532:5,1349,1010000000324,,NSE:ANGELONE-EQ,,,1979-12-31 18:30:00
709,736,XK17409,315513000.0,122092875582,,-1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,2075,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122092875582:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,50,I,2074.64990,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=6666.34,ADDITIONAL_REQUIRED_FUND=14080.16,CALCULATED_MARGIN_FOR_ORDER=20746.50",122092875582:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,1979-12-31 18:30:00
774,801,XK17409,315513000.0,122092877162,1000000025369518,-1.0,E,,INTRADAY,OrderStatus.Rejected,500.0,486.0,14.0,1347,0,OrderType.Limit,0.0,0.0,DAY,6.0,0.0,"RMS:122092877162:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,S,500,I,1345.00000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=1280.31,ADDITIONAL_REQUIRED_FUND=2291.29,CALCULATED_MARGIN_FOR_ORDER=3571.60",122092877162:5,1347,1010000000324,,NSE:ANGELONE-EQ,,,1979-12-31 18:30:00
1100,1127,XK17409,315513000.0,12209293132,,1.0,E,,INTRADAY,OrderStatus.Rejected,1.0,1.0,0.0,857,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12209293132:NSE,EQUITY,7242,METROBRAND,INTRADAY,,EQ,XK17409,B,1,I,857.25,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209293132:5,0,10100000007242,,NSE:METROBRAND-EQ,,,1979-12-31 18:30:00
1101,1128,XK17409,315513000.0,12209293612,,1.0,E,,INTRADAY,OrderStatus.Rejected,1.0,1.0,0.0,869,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12209293612:NSE,EQUITY,7242,METROBRAND,INTRADAY,,EQ,XK17409,B,1,I,868.84998,TRANSACTIONS_ARE_BLOCKED_FOR_THIS_SCRIP_(GLOBAL_LEVEL)",12209293612:5,0,10100000007242,,NSE:METROBRAND-EQ,,,1979-12-31 18:30:00
