,OrderId,Date,MinTime,MaxTime,Symbol,Segment,AvgExecPx,ExecQty,TradeType,Sign,runningDebit,runningQty,runningCredit,realizedPnL,maxDDBreached,isRevenge
0,1200000000269563,18/04/2022,2022-04-18 09:15:00,2022-04-18 09:15:00,KPITTECH,NSE_CASH,548.55,1,Buy,1,548.55,1.0,,,,
1,1200000000342441,18/04/2022,2022-04-18 09:15:00,2022-04-18 09:15:00,KPITTECH,NSE_CASH,545.85,1,Sell,-1,,0.0,545.85,-2.699999999999932,,
2,1200000000989220,18/04/2022,2022-04-18 09:22:00,2022-04-18 09:22:00,KPITTECH,NSE_CASH,542.4025,800,Sell,-1,,-800.0,434467.85,,,
3,1200000001481723,18/04/2022,2022-04-18 09:23:00,2022-04-18 09:23:00,KPITTECH,NSE_CASH,545.7,400,Sell,-1,,-1200.0,652747.85,,,
4,1200000001808409,18/04/2022,2022-04-18 09:28:00,2022-04-18 09:28:00,KPITTECH,NSE_CASH,549.8859166666666,1200,Buy,1,660411.65,0.0,,-7661.100000000047,True,
5,1200000002156519,18/04/2022,2022-04-18 09:28:00,2022-04-18 09:28:00,KPITTECH,NSE_CASH,552.9095625000001,800,Buy,1,1102739.3,800.0,,,,True
6,1200000002410701,18/04/2022,2022-04-18 09:30:00,2022-04-18 09:30:00,KPITTECH,NSE_CASH,548.3793125,800,Sell,-1,,0.0,1091451.2999999998,-3626.900000000186,True,
7,1200000002538283,18/04/2022,2022-04-18 09:31:00,2022-04-18 09:31:00,KPITTECH,NSE_CASH,546.4641875000001,800,Sell,-1,,-800.0,1528622.65,,,True
8,1200000002818628,18/04/2022,2022-04-18 09:34:00,2022-04-18 09:34:00,KPITTECH,NSE_CASH,550.34825,800,Buy,1,1543017.9,0.0,,-10768.349999999813,True,
9,1000000000297613,19/04/2022,2022-04-19 09:16:00,2022-04-19 09:16:00,BDL,NSE_CASH,893.7999999999998,700,Buy,1,625659.9999999999,700.0,,,,
10,1000000001443724,19/04/2022,2022-04-19 09:28:00,2022-04-19 09:28:00,BDL,NSE_CASH,887.7171666666666,300,Sell,-1,,400.0,266315.14999999997,,,
11,1000000001947498,19/04/2022,2022-04-19 09:32:00,2022-04-19 09:32:00,BDL,NSE_CASH,881.75,300,Buy,1,890184.9999999999,700.0,,,,
12,1000000000537245,19/04/2022,2022-04-19 09:35:00,2022-04-19 09:35:00,BDL,NSE_CASH,878.2252857142856,350,Sell,-1,,350.0,573694.0,,,
13,1000000002462409,19/04/2022,2022-04-19 09:35:00,2022-04-19 09:35:00,BDL,NSE_CASH,877.0354285714286,350,Sell,-1,,0.0,880656.4,-9528.59999999986,True,
14,1000000002486846,19/04/2022,2022-04-19 09:35:00,2022-04-19 09:35:00,BDL,NSE_CASH,876.0229166666667,600,Sell,-1,,-600.0,1406270.15,,,True
15,1000000002630541,19/04/2022,2022-04-19 09:37:00,2022-04-19 09:37:00,BDL,NSE_CASH,863.3,100,Buy,1,976514.9999999999,-500.0,,,,
16,1000000002565543,19/04/2022,2022-04-19 09:39:00,2022-04-19 09:39:00,BDL,NSE_CASH,871.6333999999999,250,Buy,1,1194423.3499999999,-250.0,,,,
17,1000000002732551,19/04/2022,2022-04-19 09:39:00,2022-04-19 09:39:00,BDL,NSE_CASH,870.0,250,Buy,1,1411923.3499999999,0.0,,3875.399999999907,,
18,1000000002844204,19/04/2022,2022-04-19 09:40:00,2022-04-19 09:40:00,BDL,NSE_CASH,868.5605833333332,600,Sell,-1,,-600.0,1927406.4999999998,,,
19,1000000002950643,19/04/2022,2022-04-19 10:03:00,2022-04-19 10:03:00,BDL,NSE_CASH,874.7,600,Buy,1,1936743.3499999999,0.0,,-13212.25,True,
20,1000000004437928,19/04/2022,2022-04-19 10:05:00,2022-04-19 10:07:00,BDL,NSE_CASH,872.5706666666666,300,Buy,1,2198514.55,300.0,,,,True
21,1000000004555443,19/04/2022,2022-04-19 10:09:00,2022-04-19 10:09:00,BDL,NSE_CASH,870.05,300,Sell,-1,,0.0,2188421.5,3119.2000000001863,,
22,1000000004705195,19/04/2022,2022-04-19 10:09:00,2022-04-19 10:09:00,BDL,NSE_CASH,866.6785833333333,600,Sell,-1,,-600.0,2708428.65,,,
23,1000000004930903,19/04/2022,2022-04-19 10:17:00,2022-04-19 10:17:00,BDL,NSE_CASH,856.5648333333334,300,Buy,1,2455484.0,-300.0,,,,
24,1000000005179381,19/04/2022,2022-04-19 10:18:00,2022-04-19 10:18:00,BDL,NSE_CASH,859.15,200,Sell,-1,,-500.0,2880258.65,,,
25,1000000005231523,19/04/2022,2022-04-19 10:19:00,2022-04-19 10:19:00,BDL,NSE_CASH,862.0,100,Sell,-1,,-600.0,2966458.65,,,
26,1000000005481166,19/04/2022,2022-04-19 10:24:00,2022-04-19 10:24:00,BDL,NSE_CASH,864.0,90,Sell,-1,,-690.0,3044218.65,,,
27,1000000006787881,19/04/2022,2022-04-19 11:44:00,2022-04-19 11:44:00,BDL,NSE_CASH,855.2,200,Buy,1,2626524.0,-490.0,,,,
28,1000000005952738,19/04/2022,2022-04-19 11:49:00,2022-04-19 11:49:00,BDL,NSE_CASH,850.1,290,Buy,1,2873053.0,-200.0,,,,
29,1000000008892639,19/04/2022,2022-04-19 11:52:00,2022-04-19 11:52:00,BDL,NSE_CASH,849.3687500000001,200,Buy,1,3042926.75,0.0,,-1827.3000000002794,True,
30,1000000000695092,20/04/2022,2022-04-20 09:21:00,2022-04-20 09:21:00,BDL,NSE_CASH,849.1,500,Buy,1,424550.0,500.0,,,,
31,1000000001174394,20/04/2022,2022-04-20 09:24:00,2022-04-20 09:24:00,BDL,NSE_CASH,843.6218,500,Sell,-1,,0.0,421810.9,-2739.0999999999767,True,
32,1000000001201243,20/04/2022,2022-04-20 09:26:00,2022-04-20 09:26:00,BDL,NSE_CASH,845.07275,600,Sell,-1,,-600.0,928854.55,,,True
